Name		TSP	LB	UB1	UB2	UB1-t	UB2-t	B&C

n100mosA  	7785	7787	7869	7860	0.66	1.98	2
n100mosB  	7782	7741	7866	7843	0.44	1.42	2
n100mosC  	8154	8102	8279	8244	1.27	3.95	2
n100mosD  	7992	7985	8110	8100	1.10	3.18	2
n100mosE  	7933	7943	8129	8105	0.93	2.58	2
n100mosF  	7918	7875	7941	7941	0.77	1.43	1
n100mosG  	8003	8026	8104	8080	0.66	1.86	2
n100mosH  	7836	7811	7923	7923	0.44	1.48	1
n100mosI  	7952	7976	8080	8080	0.38	1.26	1
n100mosJ  	7817	7706	7897	7872	0.44	3.13	2
n100q10A  	7785	11153	12111	12042	4.34	18.57	2
n100q10B  	7782	12381	13319	13172	7.25	31.31	2
n100q10C  	8154	13351	14291	14063	5.05	25.65	3
n100q10D  	7992	13795	14679	14490	9.23	44.71	5
n100q10E  	7933	11183	11916	11546	4.39	9.06	2
n100q10F  	7918	11046	12021	12021	5.16	14.28	1
n100q10G  	8003	11317	12295	12170	3.19	30.43	5
n100q10H  	7836	12125	13235	13056	6.20	39.10	4
n100q10I  	7952	13393	14364	14191	4.83	11.75	2
n100q10J  	7817	12387	13597	13439	8.29	68.98	5
n100q15A  	7785	9047	9605	9605	3.29	13.89	1
n100q15B  	7782	9859	10848	10756	6.37	44.49	4
n100q15C  	8154	10466	11498	11422	6.70	33.83	3
n100q15D  	7992	10900	11993	11993	7.25	18.51	1
n100q15E  	7933	9402	9953	9876	2.09	16.42	3
n100q15F  	7918	9207	9826	9826	3.40	13.40	1
n100q15G  	8003	9352	10016	9850	2.81	30.71	3
n100q15H  	7836	9936	10900	10897	5.49	20.54	2
n100q15I  	7952	10630	11595	11084	4.95	20.38	5
n100q15J  	7817	10034	11177	11177	6.87	16.32	1
n100q20A  	7785	8350	8836	8768	1.42	12.52	2
n100q20B  	7782	8913	9676	9629	3.51	26.03	3
n100q20C  	8154	9430	10099	10099	4.06	11.04	1
n100q20D  	7992	9548	10464	10464	4.73	16.37	1
n100q20E  	7933	8562	8973	8929	1.32	13.73	3
n100q20F  	7918	8544	9105	9056	1.75	19.11	4
n100q20G  	8003	8616	9143	9022	1.87	16.98	3
n100q20H  	7836	8877	9719	9708	3.46	20.00	2
n100q20I  	7952	9548	10184	10144	3.79	21.86	3
n100q20J  	7817	9034	9966	9835	3.57	29.71	4
n100q25A  	7785	8041	8406	8343	1.26	14.56	3
n100q25B  	7782	8379	8886	8886	1.92	12.69	1
n100q25C  	8154	8871	9247	9247	2.19	10.05	1
n100q25D  	7992	8962	9532	9496	2.53	27.30	3
n100q25E  	7933	8285	8504	8488	0.77	6.64	2
n100q25F  	7918	8194	8516	8466	1.10	7.75	2
n100q25G  	8003	8347	8639	8580	1.04	17.41	4
n100q25H  	7836	8488	8918	8890	1.98	24.83	5
n100q25I  	7952	8741	9217	9217	1.92	6.32	1
n100q25J  	7817	8601	9142	9140	1.87	10.54	2
n100q30A  	7785	7969	8139	8120	0.77	7.08	2
n100q30B  	7782	8150	8500	8415	1.26	7.03	3
n100q30C  	8154	8655	9022	8947	1.37	8.34	2
n100q30D  	7992	8599	9085	8780	1.82	14.50	5
n100q30E  	7933	8076	8327	8248	0.71	6.21	2
n100q30F  	7918	8050	8439	8409	0.77	8.07	3
n100q30G  	8003	8179	8411	8287	0.66	9.94	5
n100q30H  	7836	8190	8616	8369	1.32	16.31	6
n100q30I  	7952	8534	8886	8842	1.21	8.35	2
n100q30J  	7817	8277	8629	8629	1.37	5.16	1
n100q35A  	7785	7894	8033	7992	0.38	1.97	2
n100q35B  	7782	8000	8252	8230	0.82	7.14	2
n100q35C  	8154	8499	8714	8656	0.93	13.73	3
n100q35D  	7992	8392	8574	8510	1.10	3.96	2
n100q35E  	7933	7967	8051	8027	0.49	1.87	2
n100q35F  	7918	7957	8211	8211	0.55	3.02	1
n100q35G  	8003	8130	8188	8181	0.49	1.81	2
n100q35H  	7836	8092	8356	8273	0.93	9.34	4
n100q35I  	7952	8407	8588	8581	0.77	5.33	2
n100q35J  	7817	8107	8309	8309	0.88	2.97	1
n100q40A  	7785	7871	7984	7938	0.33	2.53	2
n100q40B  	7782	7917	8191	8144	0.72	5.77	4
n100q40C  	8154	8369	8582	8441	0.71	3.41	3
n100q40D  	7992	8227	8380	8380	0.72	2.58	1
n100q40E  	7933	7923	8042	7960	0.38	1.65	3
n100q40F  	7918	7937	8089	8074	0.32	3.29	2
n100q40G  	8003	8084	8220	8183	0.38	3.24	2
n100q40H  	7836	7942	7992	7992	0.71	1.81	1
n100q40I  	7952	8313	8496	8484	0.55	3.29	2
n100q40J  	7817	8046	8281	8255	0.55	3.84	2
n100q45A  	7785	7793	7944	7944	0.33	1.37	1
n100q45B  	7782	7863	8107	8097	0.39	5.38	2
n100q45C  	8154	8221	8426	8388	0.49	5.38	3
n100q45D  	7992	8128	8240	8212	0.49	4.06	3
n100q45E  	7933	7917	8088	7956	0.33	1.60	4
n100q45F  	7918	7928	7996	7973	0.27	1.32	2
n100q45G  	8003	8054	8130	8089	0.27	1.54	2
n100q45H  	7836	7891	7965	7934	0.50	2.09	2
n100q45I  	7952	7960	8072	8072	0.44	1.49	1
n100q45J  	7817	7938	8186	8157	0.49	4.99	2
n100q1000A  	7785	7681	7813	7785	0.16	0.77	2
n100q1000B  	7782	7738	7828	7782	0.17	0.66	2
n100q1000C  	8154	8070	8195	8155	0.16	0.93	2
n100q1000D  	7992	7956	7992	7992	0.17	0.44	1
n100q1000E  	7933	7896	8001	7933	0.11	0.61	3
n100q1000F  	7918	7875	7943	7918	0.11	0.83	2
n100q1000G  	8003	7970	8051	8012	0.11	1.65	4
n100q1000H  	7836	7767	7869	7869	0.16	0.60	1
n100q1000I  	7952	7901	7976	7952	0.11	2.09	4
n100q1000J  	7817	7706	7817	7817	0.06	1.81	1
n200mosA  	10572	10528	10822	10715	4.94	18.40	4
n200mosB  	10849	10794	11063	10976	2.14	17.69	5
n200mosC  	10521	10498	10828	10652	6.59	21.81	4
n200mosD  	10834	10834	11131	11125	6.09	30.86	2
n200mosE  	10533	10416	10671	10541	5.11	19.39	5
n200mosF  	10778	10712	10868	10854	4.72	10.82	2
n200mosG  	10753	10564	10846	10844	2.80	13.89	2
n200mosH  	11155	11090	11380	11345	1.65	12.91	2
n200mosI  	10711	10664	10836	10835	3.63	9.95	2
n200mosJ  	10516	10509	10718	10648	5.60	9.22	2
n200q10A  	10572	16419	18260	18013	28.61	160.66	5
n200q10B  	10849	16659	18607	18154	30.21	65.80	3
n200q10C  	10521	15197	17305	17305	23.95	75.63	1
n200q10D  	10834	19223	21973	21565	28.35	169.77	4
n200q10E  	10533	17714	20187	20033	39.65	88.26	2
n200q10F  	10778	19136	22127	22090	48.50	133.25	2
n200q10G  	10753	16199	18052	17956	30.42	79.59	2
n200q10H  	11155	19338	22189	21995	26.64	238.65	4
n200q10I  	10711	16478	19026	18695	29.99	329.23	7
n200q10J  	10516	17655	19423	19349	35.43	178.79	4
n200q15A  	10572	13567	15458	15443	25.48	106.61	2
n200q15B  	10849	13946	15649	15172	25.43	135.66	3
n200q15C  	10521	12562	14125	13780	21.69	293.30	6
n200q15D  	10834	15086	17831	17629	38.12	156.92	3
n200q15E  	10533	14145	16334	16315	27.41	116.55	2
n200q15F  	10778	14827	17877	17631	45.25	205.80	3
n200q15G  	10753	13337	14980	14773	24.89	236.67	5
n200q15H  	11155	15279	18020	17888	46.74	290.22	5
n200q15I  	10711	13162	15651	15240	33.18	232.06	5
